Works Sanctioned,,,,,,,,,,,
Sr. No.,Work category,Work,State,IDA,Hon'ble Members of Parliament,Constituency,Work description,Recommended date,Sanction Date,Sanction Amount ( ₹ ),Work Status
37982,Normal/Others,WS/MP18236/2025-2026/206756-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of 7 solar street light at various locations in Gram Panchayat Darma in Block Nagwa,05-Jun-2025,19-Aug-2025,175000,Work Completed
37983,Normal/Others,WS/MP18236/2025-2026/206757-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of 5 solar street light at various locations in Gram Panchayat Deori May Deora in Block Nagwa,05-Jun-2025,19-Aug-2025,125000,Work Completed
37984,Normal/Others,WS/MP18236/2025-2026/206758-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of 8 solar street light at various locations in Gram Panchayat Saraigadh in Block Nagwa,05-Jun-2025,19-Aug-2025,200000,Work Completed
37985,Normal/Others,WS/MP372/2025-2026/206759-Construction of community centers and community halls,Odisha,Kataka(DISTRICT COLLECTOR CUTTACK_IDA),Shri Bhartruhari Mahtab,CUTTACK,"CONSTRUCTION OF SAHEBZADA COMMUNITY CENTRE, SHEBZADA BAZAR, GANESH GHAT, WARD NO.20",05-Jun-2025,24-Jul-2025,500000,Physical Inspection
37986,Normal/Others,WS/MP372/2025-2026/206760-Construction of community centers and community halls,Odisha,Kataka(DISTRICT COLLECTOR CUTTACK_IDA),Shri Bhartruhari Mahtab,CUTTACK,"CONSTRUCTION OF COMMUNITY CENTER NEAR JATRA PADIA, BHANAPUR, WARD NO.58",05-Jun-2025,11-Nov-2025,300000,Physical Inspection
37987,Normal/Others,WS/MP372/2025-2026/206761-Construction of community centers and community halls,Odisha,Kataka(DISTRICT COLLECTOR CUTTACK_IDA),Shri Bhartruhari Mahtab,CUTTACK,"CONSTRUCTION OF COMMUNITY CENTER NEAR MAA SINDUREI MANDIRA, WARD NO.58",05-Jun-2025,11-Nov-2025,200000,Physical Inspection
37988,Normal/Others,WS/MP372/2025-2026/206763-Construction of community centers and community halls,Odisha,Kataka(DISTRICT COLLECTOR CUTTACK_IDA),Shri Bhartruhari Mahtab,CUTTACK,"CONSTRUCTION OF COMMUNITY CENTER NEAR RAM MANDIRA, RADHA KESHABAPUR, RADHA GOVINDAPUR G.P.",05-Jun-2025,24-Oct-2025,300000,Physical Inspection
37989,Normal/Others,WS/MP372/2025-2026/206764-Installing community drinking water plants,Odisha,Kataka(DISTRICT COLLECTOR CUTTACK_IDA),Shri Bhartruhari Mahtab,CUTTACK,INSTALLATION OF WATER COOLER WITH WATER PURIFIER NEAR SHRI RAMESWAR TEMPLE. RADHAGOBINDAPUR G.P.,05-Jun-2025,24-Oct-2025,200000,Sanction
37990,Normal/Others,WS/MP372/2025-2026/206766-Construction of community centers and community halls,Odisha,Kataka(DISTRICT COLLECTOR CUTTACK_IDA),Shri Bhartruhari Mahtab,CUTTACK,"CONSTRUCTION OF COMMUNITY CENTER NEAR GANESH JEW MANDIRA, BADHEI SAHI, BUXIBAZAR, WARD NO.25",05-Jun-2025,03-Jan-2026,500000,Sanction
37991,Normal/Others,WS/MP18248/2025-2026/206774-Lighting of public spaces,West Bengal,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),DR. SHARMILA SARKAR,BARDHAMAN PURBA(SC),Electric high mast light at Benakore crossing on STKK Road under Purbasthali 2,05-Jun-2025,13-Mar-2026,398386,Sanction
37992,Normal/Others,WS/MP18108/2025-2026/206777-Construction of bus-sheds or bus-stops,Madhya Pradesh,SAGAR(DISTRICT COLLECTOR SAGAR_IDA),DR. LATA WANKHEDE,SAGAR,as par atecha,05-Jun-2025,09-Jul-2025,2599420,Physical Inspection
37993,Normal/Others,WS/MP18019/2025-2026/206784-Street lights,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO,Diphu (ST),"Installation of Solar Light at Kania Bey village under Samelangso ITDP Block, Karbi Anglong",06-Jun-2025,20-Jun-2025,1000000,Physical Inspection
37994,Normal/Others,WS/MP18019/2025-2026/206785-Construction of community centers and community halls,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO,Diphu (ST),Construction of Auditorium Hall cum Guest House at Phonglangso Lumding Road near Arboretum (Phase-II),06-Jun-2025,28-Aug-2025,5000000,Physical Inspection
37995,Normal/Others,"WS/MP18019/2025-2026/206786-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO,Diphu (ST),"Construction of Barrack at Bakalia Police Station, Bakalia, Karbi Anglong",06-Jun-2025,17-Dec-2025,1500000,Physical Inspection
37996,Normal/Others,"WS/MP18019/2025-2026/206787-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO,Diphu (ST),"Construction of Barrack at Borpathar Police Station, Borpathar, Karbi Anglong",06-Jun-2025,17-Dec-2025,1500000,Physical Inspection
37997,Normal/Others,WS/MP18019/2025-2026/206789-Construction of community centers and community halls,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO,Diphu (ST),Construction of Open Stage at Atso Teron village under Samelangso Development Block,06-Jun-2025,20-Jun-2025,1500000,Work partially Completed
37998,Normal/Others,WS/MP18019/2025-2026/206790-Creation of new ponds,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO,Diphu (ST),Construction of Community Fishery near Longkoi Bey Village,06-Jun-2025,14-Jul-2025,500000,Work partially Completed
37999,Normal/Others,WS/MP18026/2025-2026/206791-Construction of culverts and bridges,Assam,KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA),JOYANTA BASUMATARY,KOKRAJHAR (ST),Construction of Box culvert at North Baragarh under Kokrajhar Dev. Block,06-Jun-2025,05-Aug-2025,997389,Physical Inspection
38000,Normal/Others,WS/MP18026/2025-2026/206792-Construction of culverts and bridges,Assam,CHIRANG(Deputy Commissioner Chirang_IDA),JOYANTA BASUMATARY,KOKRAJHAR (ST),Construction of Box culvert at Sumblibari village near L.P. School under Sidli Dev. Block.,06-Jun-2025,28-Nov-2025,1000000,Vendor Identification
38001,Normal/Others,WS/MP18026/2025-2026/206793-Construction of culverts and bridges,Assam,KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA),JOYANTA BASUMATARY,KOKRAJHAR (ST),Construction of Box culvert at Nandipur village near Gonesh Mandir under Kachugaon Dev. Block,06-Jun-2025,05-Aug-2025,1499312,Physical Inspection
38002,Normal/Others,WS/MP18031/2026-2027/206794-Providing drains and gutters for public drainage,Bihar,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),ABHAY KUMAR SINHA,AURANGABAD_BR,Construction of drain in Dhibri village of Shri Gaanv Panchayat from Mundar Qureshi House to Shamshad Qureshi House via Mushtaq Sheikh and Kalim Qureshi House   Konch Block,24-Jul-2025,25-Aug-2026,748700,Sanction
38003,Normal/Others,WS/MP18026/2025-2026/206795-Construction of buildings for crèches and anganwadies,Assam,CHIRANG(Deputy Commissioner Chirang_IDA),JOYANTA BASUMATARY,KOKRAJHAR (ST),Construction of Aganwadi Centre at Jambuguri village under Sidli Dev. Block,06-Jun-2025,10-Dec-2025,1200000,Vendor Identification
38004,Normal/Others,WS/MP18029/2025-2026/206796-Construction of community centers and community halls,Assam,Biswanath(Deputy Commissioner Biswanath_IDA),RANJIT DUTTA,Sonitpur,Construction of Delhousie Mising Murong Ghar,06-Jun-2025,03-Jul-2025,400000,Physical Inspection
38005,Trust and Society,WS/MP812/2025-2026/206797-Construction of rooms and halls in school and colleges,Uttar Pradesh,Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA),Vijay Kumar Dubey,KUSHI NAGAR,SHRI NATH JI INTERMIDIYET COLLEGE BASDILA BLOCK RAMKOLA ME BHAWAN NIRMAN KARRY,06-Jun-2025,09-Oct-2025,300000,Vendor Identification
38006,Repair and Renovation,"WS/MP18029/2025-2026/206798-Construction of roads, link roads, pathways or any other road with or without drainage system",Assam,Biswanath(Deputy Commissioner Biswanath_IDA),RANJIT DUTTA,Sonitpur,Gravelling Road From Lakbahadur Chetry House to via Hasto Bahadur House to Diliram Upadhayaya Suburi,06-Jun-2025,03-Jul-2025,1000000,Physical Inspection
38007,Repair and Renovation,"WS/MP18029/2025-2026/206799-Construction of roads, link roads, pathways or any other road with or without drainage system",Assam,Biswanath(Deputy Commissioner Biswanath_IDA),RANJIT DUTTA,Sonitpur,Gravelling Road From Manik Borah House to Bhujraj House Suburi Link Road,06-Jun-2025,03-Jul-2025,1000000,Physical Inspection
38008,Normal/Others,WS/MP18029/2025-2026/206800-Construction of community centers and community halls,Assam,"SONITPUR(Deputy Commissioner Sonitpur, Tezpur)",RANJIT DUTTA,Sonitpur,"Renovation or Construction of Community Hall at Barika Chuburi Smasan, Madhya Barika Chuburi, Tezpur",06-Jun-2025,16-Jul-2025,500000,Work Completed
38009,Normal/Others,"WS/MP360/2025-2026/206801-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",Madhya Pradesh,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA),Shri Anil Firojiya,UJJAIN(SC),ujjain sansadiy skestra me 35 divyangjano ko eletric tryscooty praday (sanshodhit 9.10.25),06-Jun-2025,14-Oct-2025,3779650,Physical Inspection
38010,Normal/Others,"WS/MP18248/2026-2027/206814-Purchase of IT systems, including hardware and software for educational purposes",West Bengal,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),DR. SHARMILA SARKAR,BARDHAMAN PURBA(SC),"30 pcs of  HP Desktop PC Intel Core 8GB RAM 512 GB PCLE, Windows 11 20 inches monitor",03-Jul-2025,13-Aug-2026,1700000,Time Estimation
38011,Normal/Others,"WS/MP18024/2025-2026/206815-Construction of roads, link roads, pathways or any other road with or without drainage system",Assam,JORHAT(DEPUTY COMMISSIONER JORHAT_IDA),GAURAV GOGOI,JORHAT,"Development of 4 no Ward Rupnagar Jagriti Path, Cinnamara, 54 no Cinnamara Bagicha GP",06-Jun-2025,13-Mar-2026,200000,Vendor Identification
38012,Normal/Others,WS/MP18024/2026-2027/206816-Construction of community centers and community halls,Assam,JORHAT(DEPUTY COMMISSIONER JORHAT_IDA),GAURAV GOGOI,JORHAT,"Development of Ujani Karanga Jonia Kolakristhi Kendra, 55 no Karanga GP",06-Jun-2025,11-Aug-2026,200000,Sanction
38013,Normal/Others,"WS/MP18024/2025-2026/206817-Construction of roads, link roads, pathways or any other road with or without drainage system",Assam,JORHAT(DEPUTY COMMISSIONER JORHAT_IDA),GAURAV GOGOI,JORHAT,"Development of Ruhini Kanta Hati Baruah Path, Hatichungi Gaon, Dhekiyajuli, 56 no Dakhin Karanga GP",06-Jun-2025,13-Mar-2026,200000,Vendor Identification
38014,Normal/Others,"WS/MP18024/2025-2026/206818-Construction of roads, link roads, pathways or any other road with or without drainage system",Assam,JORHAT(DEPUTY COMMISSIONER JORHAT_IDA),GAURAV GOGOI,JORHAT,"Development of Murmuriya Baghdhora Basti Main Road, 57 no uttar Garamur Bagicha GP",06-Jun-2025,13-Mar-2026,200000,Vendor Identification
38015,Normal/Others,WS/MP18024/2025-2026/206819-Construction of community centers and community halls,Assam,JORHAT(DEPUTY COMMISSIONER JORHAT_IDA),GAURAV GOGOI,JORHAT,"Development of Kheremia Gaon Jayanta Prathomic Sakha Namghar, 63 No Kushal Kunwar GP",06-Jun-2025,13-Mar-2026,200000,Sanction
38016,Normal/Others,"WS/MP18024/2025-2026/206820-Construction of roads, link roads, pathways or any other road with or without drainage system",Assam,JORHAT(DEPUTY COMMISSIONER JORHAT_IDA),GAURAV GOGOI,JORHAT,"Development of Gajpuria Bhogachuk Path, 64 No Pub Thengal GP",06-Jun-2025,06-Feb-2026,200000,Vendor Identification
38017,Normal/Others,"WS/MP18024/2025-2026/206821-Construction of roads, link roads, pathways or any other road with or without drainage system",Assam,JORHAT(DEPUTY COMMISSIONER JORHAT_IDA),GAURAV GOGOI,JORHAT,"Development of Na Ali to Baghmoria Gaon Connecting Road, 65 no Baghchung GP",06-Jun-2025,06-Feb-2026,200000,Vendor Identification
38018,Normal/Others,"WS/MP18175/2025-2026/206825-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",Tamil Nadu,DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA),MANI. A.,DHARAMAPURI,Construction of 16 shops at Ward No.9 Dharmapuri Municipality Ulavar sandai,06-Jun-2025,30-Jan-2026,2800000,Vendor Identification
38019,Normal/Others,"WS/MP18248/2026-2027/206827-Purchase of IT systems, including hardware and software for educational purposes",West Bengal,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),DR. SHARMILA SARKAR,BARDHAMAN PURBA(SC),2 pcs of HP smart tank 790 all in one printer wireless print copy scan fax 35 sheet adf bluetooth le hi speed USB,03-Jul-2025,13-Aug-2026,69000,Time Estimation
38020,Normal/Others,"WS/MP812/2025-2026/206833-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA),Vijay Kumar Dubey,KUSHI NAGAR,GP PACH PHERA BLOCK BISHUNPURA ME SHIV NATH GOND KE GHAR SE ARJUN CHAUHAN KE GHAR JANE WALE MARG PAR CC ROAD NIRMAN KARRY,06-Jun-2025,18-Nov-2025,1200000,Work Completed
38021,Normal/Others,WS/MP812/2026-2027/206837-Construction of culverts and bridges,Uttar Pradesh,Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA),Vijay Kumar Dubey,KUSHI NAGAR,BLOCK NN GP KHAIRATIYA SITLAPUR ME PRABHAKAR PANDEY KE GHAR KE PAS 1x3 METER RCC PULIYA NIRMAN KARRY,06-Jun-2025,25-Jun-2026,1000000,Work partially Completed
38022,Trust and Society,WS/MP812/2025-2026/206859-Construction of rooms and halls in school and colleges,Uttar Pradesh,Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA),Vijay Kumar Dubey,KUSHI NAGAR,NP KAPTANGANJ KE WARD NO- 03  ME JP INTERMIDIATE COLLEGE KAPTANGANJ ME BHAWAN KA NIRMAN KARRY,07-Jun-2025,26-Jul-2025,950000,Vendor Identification
38023,Normal/Others,WS/MP18036/2025-2026/206863-Construction of public staircase/ stair ghat for public convenience,Bihar,JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA),ARUN BHARTI,JAMUI(SC),Construction of a PCC road from the main road to the water tank in village Bardon.,06-Jun-2025,19-Jul-2025,298620,Physical Inspection
38024,Normal/Others,"WS/MP18036/2025-2026/206864-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA),ARUN BHARTI,JAMUI(SC),Construction of a PCC road from the house of Bishun Dev Rajak to the river.,06-Jun-2025,19-Jul-2025,192823,Physical Inspection
38025,Normal/Others,"WS/MP812/2025-2026/206865-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA),Vijay Kumar Dubey,KUSHI NAGAR,GP CHANDRAPUR BLOCK PADRAUNA  ME MANOJ KE GHAR SE YOGENDRA GIRI KE GHAR JANE WALE MARG PAR CC ROAD NIRMAN KARRY,07-Jun-2025,01-Dec-2025,847572,Physical Inspection
38026,Normal/Others,"WS/MP812/2026-2027/206866-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA),Vijay Kumar Dubey,KUSHI NAGAR,GP MUNDERA BLOCK MOTICHAK  SENDUAAR ME SHIV STHAN KE TARAF JANE WALE MARG PAR CC ROAD NIRMAN KARRY,07-Jun-2025,22-May-2026,850000,Work partially Completed
38027,Trust and Society,WS/MP18211/2025-2026/206867-Construction of rooms and halls in school and colleges,Uttar Pradesh,Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA),SHASHANK MANI,DEORIA,"Vikas Khand- Fazilnagar, Gram Sabha - Narainpur Kothi me Fulmati devi purv madhyamik vidyalay narainpur kothi me bhawan ka nirmaan kary",24-Jun-2025,24-Feb-2026,500000,Vendor Identification
38028,Normal/Others,WS/MP18211/2026-2027/206869-Construction of rooms and halls in school and colleges,Uttar Pradesh,Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA),SHASHANK MANI,DEORIA,"Vikas Khand - Dudehi, Gram Sabha- Rampur Patti men panna devi intermediate college rampur patti men bhawan ka nirmaan kary",24-Jun-2025,13-Jul-2026,250000,Time Estimation
38029,Normal/Others,WS/MP812/2025-2026/206871-Construction of culverts and bridges,Uttar Pradesh,Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA),Vijay Kumar Dubey,KUSHI NAGAR,GP MAHUI BLOCK HATA ME ANAND DUBEY KE KHET KE PAS 3 METER RCC PULIYA NIRMAN KARRY,07-Jun-2025,10-Dec-2025,648351,Physical Inspection
38030,Normal/Others,"WS/MP812/2025-2026/206873-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA),Vijay Kumar Dubey,KUSHI NAGAR,GP PAKARI BANGAR BLOCK RAMKOLA ME MEN PICH ROAD SE SHRI DURAG MATA JI KE MANDIR JANE WALE MARG PAR INTERLOKING NIRMAN KARRY,07-Jun-2025,04-Dec-2025,692929,Physical Inspection
38031,Normal/Others,"WS/MP812/2025-2026/206875-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA),Vijay Kumar Dubey,KUSHI NAGAR,GP PADARI BLOCK SUKRAULI ME RATANPUR MINER SE ASUTOSH PANDEY KE GHAR JANE WALE MARG PAR CC ROAD NRMAN KARRY,07-Jun-2025,17-Feb-2026,897671,Physical Inspection
38032,Normal/Others,WS/MP18036/2025-2026/206876-Construction of public staircase/ stair ghat for public convenience,Bihar,JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA),ARUN BHARTI,JAMUI(SC),Construction of a stepped Chhath ghat in Dube Aahar (pond).,06-Jun-2025,02-Sep-2025,299211,Physical Inspection
38033,Normal/Others,"WS/MP18036/2025-2026/206880-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA),ARUN BHARTI,JAMUI(SC),"Construction of a PCC road from Sanjeet Singh field to Brijnandan Singh field, with a length of 400 feet and a width of 10 feet.",06-Jun-2025,12-Aug-2025,291860,Physical Inspection
38034,Trust and Society,WS/MP812/2025-2026/206881-Construction of rooms and halls in school and colleges,Uttar Pradesh,Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA),Vijay Kumar Dubey,KUSHI NAGAR,GP NEBUA RAIGANJ BLOCK NN ME MM CENTRAL ACADEMY ME ROOM NIRMAN  YA TAYLIKARAN KARY,07-Jun-2025,20-Nov-2025,200000,Vendor Identification
38035,Normal/Others,"WS/MP18036/2025-2026/206882-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA),ARUN BHARTI,JAMUI(SC),Construction of a PCC road from the main road and Beni Manjhi house towards the community building- Mushari.,06-Jun-2025,30-Aug-2025,494655,Physical Inspection
38036,Normal/Others,"WS/MP18036/2025-2026/206883-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA),ARUN BHARTI,JAMUI(SC),Construction of a soling PCC road from the main road near the houses of Sakaldev Singh and Sunil Singh to the house of Brijnandan Sharma.,06-Jun-2025,31-Jul-2025,486862,Physical Inspection
38037,Normal/Others,"WS/MP18190/2026-2027/206886-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,Laying of CC Road from Thullu Saidulu (H) to Vennu Upendar (H) at Rajulukothapalli GP at Nellikudur Mdl,06-Jun-2025,28-Jul-2026,499000,Physical Inspection
38038,Normal/Others,"WS/MP18005/2025-2026/206887-Construction of roads, link roads, pathways or any other road with or without drainage system",Andhra Pradesh,Bapatla(DISTRICT COLLECTOR BAPATLA_IDA),Krishna Prasad Tenneti,BAPATLA,"Construction of CC Road from Sukavasi Krishnarao House to Ankammathalli Temple of Nallurupalem G.P, Repalle mandal, Bapatla District",06-Jun-2025,25-Aug-2025,300000,Vendor Identification
38039,Normal/Others,"WS/MP18190/2026-2027/206888-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,"Laying of CC Road from Errupula Yellaiah (H) to G.P Road at Nainala (V), Nellikudur ()",06-Jun-2025,28-Jul-2026,499000,Physical Inspection
